Vehicle Tag	;	Date	;	Time In	;	Direction	;	Category	;	Location
1	;	11/08/2016	;	06:00:00	;	Entry	;	Bus	;	Iwo Road
2	;	11/08/2016	;	06:15:00	;	Entry	;	Passenger Car	;	Iwo Road
3	;	11/08/2016	;	06:30:00	;	Exit	;	Passenger Car	;	Iwo Road
4	;	11/08/2016	;	06:45:00	;	Entry	;	Bus	;	Iwo Road
5	;	11/08/2016	;	07:00:00	;	Exit	;	Bus	;	Iwo Road
6	;	11/08/2016	;	07:15:00	;	Exit	;	Passenger Car	;	Iwo Road
7	;	11/08/2016	;	07:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
8	;	11/08/2016	;	07:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
9	;	11/08/2016	;	08:00:00	;	Entry	;	Bus	;	Iwo Road
10	;	11/08/2016	;	08:15:00	;	Exit	;	Passenger Car	;	Iwo Road
11	;	11/08/2016	;	08:30:00	;	Entry	;	Passenger Car	;	Iwo Road
12	;	11/08/2016	;	08:45:00	;	Exit	;	Bus	;	Iwo Road
13	;	11/08/2016	;	12:00:00	;	Exit	;	Bus	;	Iwo Road
14	;	11/08/2016	;	13:15:00	;	Entry	;	3-axle Trailer	;	Iwo Road
15	;	11/08/2016	;	14:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
16	;	11/08/2016	;	14:45:00	;	Exit	;	Bus 	;	Iwo Road
17	;	11/08/2016	;	16:00:00	;	Exit	;	Passenger Car	;	Iwo Road
18	;	12/08/2016	;	02:00:00	;	Entry	;	Passenger Car	;	Iwo Road
19	;	12/08/2016	;	02:10:00	;	Entry	;	Bus	;	Iwo Road
20	;	12/08/2016	;	04:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
21	;	12/08/2016	;	05:30:00	;	Exit	;	Passenger Car	;	Iwo Road
22	;	12/08/2016	;	06:00:00	;	Exit	;	Passenger Car	;	Iwo Road
23	;	12/08/2016	;	08:15:00	;	Exit	;	Bus	;	Iwo Road
24	;	12/08/2016	;	09:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
25	;	12/08/2016	;	09:15:00	;	Exit	;	Passenger Car	;	Iwo Road
26	;	12/08/2016	;	09:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
27	;	12/08/2016	;	09:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
28	;	12/08/2016	;	11:15:00	;	Exit	;	Passenger Car	;	Iwo Road
29	;	12/08/2016	;	12:00:00	;	Exit	;	Passenger Car	;	Iwo Road
30	;	12/08/2016	;	14:15:00	;	Entry	;	Bus	;	Iwo Road
31	;	12/08/2016	;	14:30:00	;	Entry	;	Passenger Car	;	Iwo Road
32	;	12/08/2016	;	15:00:00	;	Exit	;	Passenger Car	;	Iwo Road
33	;	12/08/2016	;	15:15:00	;	Entry	;	Bus	;	Iwo Road
34	;	12/08/2016	;	15:45:00	;	Exit	;	2-axle Trailer	;	Iwo Road
35	;	12/08/2016	;	17:00:00	;	Exit	;	Bus	;	Iwo Road
36	;	12/08/2016	;	17:10:00	;	Exit	;	Passenger Car	;	Iwo Road
37	;	12/08/2016	;	17:15:00	;	Exit	;	Passenger Car	;	Iwo Road
