Vehicle Tag	;	Date	;	Time In	;	Direction	;	Category	;	Location
1	;	01/08/2016	;	06:00:00	;	Entry	;	Bus	;	Iwo Road
2	;	01/08/2016	;	06:15:00	;	Entry	;	Passenger Car	;	Iwo Road
3	;	01/08/2016	;	06:30:00	;	Exit	;	Passenger Car	;	Iwo Road
4	;	01/08/2016	;	06:45:00	;	Entry	;	Bus	;	Iwo Road
5	;	01/08/2016	;	07:00:00	;	Exit	;	Bus	;	Iwo Road
6	;	01/08/2016	;	07:15:00	;	Exit	;	Passenger Car	;	Iwo Road
7	;	01/08/2016	;	07:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
8	;	01/08/2016	;	07:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
9	;	01/08/2016	;	08:00:00	;	Entry	;	Bus	;	Iwo Road
10	;	01/08/2016	;	08:15:00	;	Exit	;	Passenger Car	;	Iwo Road
11	;	01/08/2016	;	08:30:00	;	Entry	;	Passenger Car	;	Iwo Road
12	;	01/08/2016	;	08:45:00	;	Exit	;	Bus	;	Iwo Road
13	;	01/08/2016	;	12:00:00	;	Exit	;	Bus	;	Iwo Road
14	;	01/08/2016	;	13:15:00	;	Entry	;	3-axle Trailer	;	Iwo Road
15	;	01/08/2016	;	14:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
16	;	01/08/2016	;	14:45:00	;	Exit	;	Bus 	;	Iwo Road
17	;	01/08/2016	;	16:00:00	;	Exit	;	Passenger Car	;	Iwo Road
18	;	02/08/2016	;	02:00:00	;	Entry	;	Passenger Car	;	Iwo Road
19	;	02/08/2016	;	02:10:00	;	Entry	;	Bus	;	Iwo Road
20	;	02/08/2016	;	04:45:00	;	Exit	;	3-axle Trailer	;	Iwo Road
21	;	02/08/2016	;	05:30:00	;	Exit	;	Passenger Car	;	Iwo Road
22	;	02/08/2016	;	06:00:00	;	Exit	;	Passenger Car	;	Iwo Road
23	;	02/08/2016	;	08:15:00	;	Exit	;	Bus	;	Iwo Road
24	;	02/08/2016	;	09:00:00	;	Entry	;	2-axle Trailer	;	Iwo Road
25	;	02/08/2016	;	09:15:00	;	Exit	;	Passenger Car	;	Iwo Road
26	;	02/08/2016	;	09:30:00	;	Entry	;	3-axle Trailer	;	Iwo Road
27	;	02/08/2016	;	09:45:00	;	Entry	;	2-axle Trailer	;	Iwo Road
28	;	02/08/2016	;	11:15:00	;	Exit	;	Passenger Car	;	Iwo Road
29	;	02/08/2016	;	12:00:00	;	Exit	;	Passenger Car	;	Iwo Road
30	;	02/08/2016	;	14:15:00	;	Entry	;	Bus	;	Iwo Road
31	;	02/08/2016	;	14:30:00	;	Entry	;	Passenger Car	;	Iwo Road
32	;	02/08/2016	;	15:00:00	;	Exit	;	Passenger Car	;	Iwo Road
33	;	02/08/2016	;	15:15:00	;	Entry	;	Bus	;	Iwo Road
34	;	02/08/2016	;	15:45:00	;	Exit	;	2-axle Trailer	;	Iwo Road
35	;	02/08/2016	;	17:00:00	;	Exit	;	Bus	;	Iwo Road
36	;	02/08/2016	;	17:10:00	;	Exit	;	Passenger Car	;	Iwo Road
37	;	02/08/2016	;	17:15:00	;	Exit	;	Passenger Car	;	Iwo Road
38	;	02/08/2016	;	19:00:00	;	Entry	;	Bus	;	Iwo Road
39	;	02/08/2016	;	19:30:00	;	Entry	;	Bus	;	Iwo Road
40	;	02/08/2016	;	19:45:00	;	Exit	;	Bus	;	Iwo Road
41	;	02/08/2016	;	20:00:00	;	Exit	;	Passenger Car	;	Iwo Road
42	;	02/08/2016	;	20:30:00	;	Entry	;	Passenger Car	;	Iwo Road
43	;	02/08/2016	;	21:00:00	;	Exit	;	Bus	;	Iwo Road
44	;	02/08/2016	;	21:15:00	;	Exit	;	Bus	;	Iwo Road
45	;	02/08/2016	;	22:30:00	;	Exit	;	Passenger Car	;	Iwo Road
46	;	02/08/2016	;	23:15:00	;	Entry	;	Passenger Car	;	Iwo Road
47	;	02/08/2016	;	23:30:00	;	Entry	;	Passenger Car	;	Iwo Road
48	;	03/08/2016	;	05:30:00	;	Entry 	;	2-axle Trailer	;	Iwo Road
49	;	03/08/2016	;	06:00:00	;	Entry	;	3-axle Trailer	;	Iwo Road
50	;	03/08/2016	;	06:15:00	;	Entry	;	Passenger Car	;	Iwo Road
51	;	03/08/2016	;	06:30:00	;	Exit	;	Passenger Car	;	Iwo Road
52	;	03/08/2016	;	06:45:00	;	Entry	;	Bus	;	Iwo Road
